cnpj,codigo_B3,registro_cancelado
91.664.706/0001-03,LSEH,True
57.487.142/0001-42,CPFL,True
82.641.325/0001-18,CREM,True
00.649.881/0001-76,GTDP,True
84.685.189/0001-93,JOIN,True
82.981.929/0001-03,SCLO,True
42.416.651/0001-07,PRBN,True
02.465.783/0001-04,FTRT,True
00.866.577/0001-80,PSEG,True
62.791.116/0001-43,ASSM,True
17.159.005/0001-64,SJOS,True
60.400.009/0001-11,MNSA,True
61.196.564/0001-36,FLBR,True
10.265.949/0001-77,COPR,True
33.870.163/0001-84,BEXC,True
76.491.828/0001-51,EMRC,True
02.312.126/0001-27,GGES,True
60.688.256/0001-65,PVLT,True
02.670.203/0001-10,RCPR,True
08.741.499/0001-08,PRML,True
10.809.341/0001-66,BTSP,True
04.815.734/0001-80,JARI,True
88.658.752/0001-95,SEHB,True
92.691.328/0001-10,CSUL,True
71.476.527/0001-35,TEND,True
00.643.535/0001-80,EBRU,True
69.720.910/0001-45,LBIC,True
57.500.001/0001-12,FAPC,True
01.832.326/0001-48,VEGA,True
03.114.361/0001-57,DSUL,True
17.221.771/0001-01,LIAS,True
00.185.041/0001-08,ITQR,True
65.599.953/0001-63,CPMS,True
08.887.330/0001-52,CZLT,True
60.700.556/0001-12,BNET,True
76.487.032/0001-25,REPA,True
92.758.085/0001-90,ALBA,True
07.088.416/0001-52,FDCS,True
51.468.791/0001-10,RPSA,True
13.324.184/0001-97,VIGR,True
02.558.129/0001-45,TSEP,True
06.833.131/0001-36,BPIA,True
61.087.581/0001-35,STRP,True
00.514.998/0001-42,ETRO,True
32.185.928/0001-84,TLUX,True
60.889.128/0001-80,SFSA,True
11.094.546/0001-75,MPLU,True
57.486.177/0001-67,TBCP,True
01.540.533/0001-29,QUEN,True
61.082.863/0001-40,ORIO,True
60.643.228/0001-21,FIBR,True
47.080.619/0001-17,ACGU,True
61.288.916/0001-83,BZNX,True
07.700.557/0001-84,BISA,True
04.370.082/0001-17,WTTC,True
31.959.356/0001-80,CMMA,True
02.808.708/0001-07,AMBV,True
61.116.331/0001-86,VGOR,True
06.977.739/0001-34,TEMP,True
02.558.132/0001-69,TCOC,True
52.736.840/0001-10,CCHI,True
33.700.394/0001-40,UBBR,True
00.354.053/0001-00,LOAR,True
84.489.996/0001-30,SNDW,True
03.002.935/0001-03,MLCF,True
15.463.423/0001-15,MLPP,True
02.084.220/0001-76,STBR,True
08.769.451/0001-08,IMWL,True
29.506.474/0001-91,LATS,True
02.320.032/0001-08,TBRC,True
24.315.012/0001-73,ARCE,True
17.157.850/0001-09,USIM,True
02.783.422/0001-06,ALPT,True
05.341.549/0001-63,TRPN,True
60.882.628/0001-90,CNFB,True
07.645.260/0001-63,MSTR,True
60.881.364/0001-50,BERG,True
01.685.903/0001-16,AMCE,True
13.558.218/0001-08,CARB,True
11.136.660/0001-10,HGNN,True
08.473.852/0001-08,ANRN,True
17.197.385/0001-21,CSMB,True
10.847.761/0001-37,EBXG,True
61.632.964/0001-47,PQUN,True
07.332.190/0001-93,VINE,True
82.981.812/0001-20,BUET,True
01.547.749/0001-16,QVUM,True
43.358.647/0001-00,MEDI,True
61.460.762/0001-65,IVIL,True
03.906.591/0001-59,SOES,True
,YPFL,True
02.659.727/0001-00,RNPT,True
42.517.177/0001-00,MDDT,True
33.433.665/0001-48,DOCA,True
02.390.206/0001-09,PITI,True
13.552.070/0001-02,PNOR,True
10.603.674/0001-34,WWOW,True
01.996.119/0001-29,APHA,True
02.036.200/0001-09,ARGM,True
61.192.373/0001-04,COBE,True
20.789.145/0001-20,ELSX,True
60.701.190/0001-04,ITAU,True
00.020.540/0001-37,MLPA,True
08.904.552/0001-36,MILK,True
94.845.674/0001-30,RIPI,True
