ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
ENGI4,2020Q4,3081,2895,61,0.2622988615294359,0.616554090156197,84.11181281892922,43.80976376592981,32.09506469984511,17998.918336209445,0.2252020978358729
ENGI4,2020Q3,2762,4125,65,0.4897031059905597,0.8147198382853015,72.18913334220272,37.58841449274298,33.01418283092795,21358.12324217797,0.3336475843602701
ENGI4,2020Q2,2723,3046,61,0.2945601195042818,0.9403967410878552,71.652676589016,43.71891302076354,29.748844612444096,17036.618850929266,0.2231699027849627
ENGI4,2019Q4,566,568,61,0.2917221108959771,0.6409111615594194,16.716418280752304,7.727715999707611,5.985902805142844,1521.7153592404466,0.2623187119087605
ENJU3,2021Q1,122444,125126,60,0.0378418814216462,1.0,142.50878433267545,2089.1376685271284,1983.5728985013532,1643416.37921255,0.001322379555451
ENJU3,2020Q4,43776,41204,36,0.0555554178255876,0.4999997093072143,7400.956907847931,1016.1353867048006,933.255858779508,535942.1938471275,0.1741807924926604
ENMT3,2021Q1,545,221,40,0.1750549919176003,0.142812084552055,54.71175987280739,6.189972343807179,3.3824585381186587,1491.0419109034897,0.5001340940224382
ENMT3,2020Q3,115,69,32,0.1582427299446649,0.9999999999225612,11.08997895624679,3.5937550123662074,0.4013202890680072,81.58136371153435,0.3052023435046189
ENMT3,2020Q1,118,49,35,0.8652083679488007,0.9683023006674292,1.9556059776011443,2.974868165510657,0.0300209183247862,1.3110826860452445,0.3602393474050577
ENMT4,2021Q1,164,32,17,0.8113489505804674,0.9651679719817724,5.643786325248006,9.44356856502753,0.1030712235484194,205.06017234328272,0.3241661412250949
ENMT4,2020Q4,32,5,16,0.9518295080000012,0.971501788571429,0.3562517425641032,2.0338573764102588,0.0282850461538461,-20.689511827927497,0.1412153141131049
ENMT4,2020Q3,121,36,36,0.9737973555555568,0.9940356571428576,5.08473713277311,1.3098487394958038,3.705619411764707,-135.02972079681462,0.4967911729140641
ENMT4,2020Q2,265,116,46,0.820403408243684,0.9186054810013392,4.075811042452175,5.051338240312703,4.950828035525128e-18,238.76631718449696,0.3983026225857759
ENMT4,2020Q1,113,50,35,0.861642851986968,0.9520005070349852,1.4321248123786363,2.862923223055778,0.0015743574364177,-6.979699236513717,0.3010825485966514
EQPA3,2020Q4,2052,1794,61,0.0491803263167357,0.3333333064620187,365.34848977281,23.94677470768284,21.134447371975437,11438.921353108106,0.284983213722058
EQPA3,2020Q3,3461,2256,65,0.1700391517478173,0.4540357755558116,65.34142018044125,46.81534485622721,30.027892002511216,16372.923192758566,0.1263230815284095
EQPA3,2020Q2,4211,3552,61,0.0491804167915646,0.3332992938982581,330.81547342948704,55.52869539257554,55.46399376739394,25650.639358608645,0.1278433500751068
EQPA3,2020Q1,7195,6476,62,0.0645161977355864,0.2500006808638981,764.0589478822505,76.33846106743297,94.8674129177129,54952.79285027239,0.2235563106808169
EQPA5,2021Q1,52,51,29,0.9161546019369337,0.8449918606273243,1.8508814772797924,1.6363800448675647,3.9164484050007976e-40,-39.11544401116678,0.5089003942897896
EQPA5,2020Q4,47,26,14,0.2142996655331546,0.3329810064916828,12.378946792859846,1.2863554949136526,1.2751264058490344,32.9327569198536,0.5087569281376105
EQPA5,2020Q3,17,6,10,0.996414693061404,0.244496488687436,1.2372355901550909,0.7859415550486295,0.2849339307549823,-16.435191598583298,0.535144762278254
